project_id,project_name,project_type,budget_rs,duration_days,team_size,scope_changes,client_type,technology_stack,developer_experience_avg,agile_practice,client_rating,past_delays,actual_risk_level
1,Re-Intermediate 24/7 Experiences Platform,ERP,1433912,72,7,1,Local,Angular,3.9,Yes,5,3,Low
2,Facilitate Efficient Models Platform,Web,1285972,171,6,4,Local,Django,1.8,No,2,3,High
3,Engage Integrated Networks Platform,Desktop,554515,141,9,2,International,Angular,1.9,No,1,0,Medium
4,Redefine Efficient Technologies Platform,Web,3511337,236,12,2,Local,Spring Boot,2.8,Yes,4,0,High
5,Innovate Compelling Web Services Platform,Desktop,3533614,355,6,5,Local,React,3.6,No,1,1,Low
6,Incentivize Magnetic Users Platform,API,2831811,292,8,1,International,Vue,1.8,No,1,1,High
7,Aggregate Front-End Infrastructures Platform,ERP,2553622,143,10,3,International,Spring Boot,3.8,Yes,3,0,Low
8,Repurpose B2B Platforms Platform,Web,3146211,265,7,0,Local,Django,4.5,No,2,3,Medium
9,Re-Intermediate Compelling Vortals Platform,ERP,4349128,133,7,1,Local,Spring Boot,3.2,No,5,3,High
10,Reinvent Collaborative Applications Platform,API,3536646,172,5,4,International,React,4.0,Yes,2,1,High
11,Transform B2B Deliverables Platform,API,1032909,257,9,4,International,Django,2.0,Yes,1,2,High
12,Syndicate Distributed E-Markets Platform,Desktop,1435767,210,9,1,International,React,4.8,No,5,1,High
13,Repurpose Ubiquitous Web Services Platform,Web,3003536,319,12,1,Local,Vue,4.1,Yes,5,2,Medium
14,Target Interactive Architectures Platform,Web,1438414,245,7,1,Local,Angular,4.5,Yes,1,3,Low
15,Seize Transparent Web-Readiness Platform,ML,1554955,125,10,4,Local,Vue,3.1,No,2,1,High
16,Enhance Seamless Action-Items Platform,Desktop,3846989,251,10,4,International,React,2.0,Yes,3,0,High
17,Re-Intermediate Plug-And-Play Systems Platform,ML,2430342,172,3,0,Local,Angular,1.3,Yes,3,0,High
18,Disintermediate Plug-And-Play Paradigms Platform,Mobile,2836036,308,6,4,Local,Spring Boot,4.7,No,2,3,Medium
19,Syndicate User-Centric Communities Platform,Mobile,1291262,109,9,2,International,Laravel,2.9,Yes,1,0,Medium
20,Facilitate Mission-Critical Technologies Platform,ERP,3346276,115,6,1,Local,Django,2.8,No,2,2,Medium
21,Revolutionize Turn-Key Technologies Platform,Mobile,1132374,286,11,0,Local,Spring Boot,5.0,Yes,1,1,Low
22,Incubate 24/365 Synergies Platform,API,4573853,306,6,3,Local,Angular,2.5,No,3,3,Medium
23,Strategize Plug-And-Play Functionalities Platform,API,4582495,139,6,2,Local,React,3.3,Yes,3,0,Low
24,Enable Real-Time Channels Platform,ML,4499591,317,11,1,Local,Django,1.3,Yes,1,0,High
25,Exploit Integrated E-Tailers Platform,Mobile,3887114,121,12,1,Local,Django,1.3,No,3,1,High
26,Brand Granular Roi Platform,ERP,3135565,182,7,3,Local,Spring Boot,3.6,No,3,0,Low
27,Re-Contextualize Open-Source Supply-Chains Platform,API,1338703,97,11,1,International,Angular,4.7,Yes,2,2,Medium
28,Target Visionary Paradigms Platform,Mobile,4175758,338,7,4,Local,Spring Boot,4.3,No,1,1,Medium
29,Facilitate Value-Added Infrastructures Platform,Web,1397882,343,5,2,International,Django,1.8,No,2,2,High
30,Expedite Extensible Platforms Platform,API,2606557,86,4,5,International,Flutter,2.1,Yes,3,1,High
31,Integrate Enterprise Eyeballs Platform,Desktop,1855447,286,11,5,International,Django,1.0,Yes,2,0,Medium
32,Facilitate Best-Of-Breed E-Services Platform,ML,1742300,280,5,0,International,Vue,4.6,Yes,3,1,High
33,Syndicate End-To-End E-Commerce Platform,Mobile,1362295,241,11,3,Local,Angular,4.5,Yes,4,0,Low
34,Generate Frictionless Content Platform,ERP,3286573,270,6,2,Local,Flutter,3.8,No,1,3,Low
35,Orchestrate Magnetic Roi Platform,Mobile,4361303,239,7,1,Local,React,3.6,No,3,2,Low
36,Drive Cross-Media Web Services Platform,Desktop,3445627,320,9,5,International,React,1.5,No,2,2,Low
37,Deliver B2B Infrastructures Platform,Web,4145385,236,8,3,Local,Laravel,4.6,Yes,3,0,High
38,Re-Contextualize 24/7 Platforms Platform,API,514187,326,11,5,Local,Vue,2.7,No,5,2,High
39,Transition Viral Communities Platform,Web,3019285,319,7,5,International,Vue,2.6,No,5,1,Low
40,Expedite Customized Portals Platform,API,3680501,149,12,4,International,Laravel,3.2,Yes,3,2,Low
41,Unleash Integrated Convergence Platform,API,3203222,298,10,3,Local,Django,2.9,Yes,1,2,High
42,Embrace Mission-Critical Models Platform,ERP,3311762,107,6,5,International,Angular,4.2,Yes,1,0,Low
43,Unleash Wireless Paradigms Platform,API,1110927,293,9,5,Local,Spring Boot,3.8,No,4,1,Low
44,Morph Web-Enabled Paradigms Platform,ERP,546513,114,9,1,Local,Flutter,4.8,No,1,1,Low
45,Grow Rich Niches Platform,API,1618529,297,11,4,International,Flutter,4.6,No,5,3,Low
46,Synthesize Impactful Functionalities Platform,ERP,4481857,290,7,1,International,Flutter,4.1,No,2,2,Medium
47,Deliver Turn-Key Paradigms Platform,Web,2896861,180,7,2,International,Django,1.3,Yes,2,3,High
48,Synergize Intuitive Communities Platform,Mobile,2294766,92,9,3,International,Django,2.9,Yes,2,3,Medium
49,Synthesize Integrated Content Platform,ML,663845,354,9,3,Local,Vue,2.2,No,4,1,Medium
50,Morph Efficient Communities Platform,Mobile,2789547,283,10,0,International,Vue,3.7,No,2,3,Low
51,Streamline Dot-Com Action-Items Platform,ML,4980553,73,9,4,Local,React,3.6,Yes,4,1,Low
52,Matrix Revolutionary Interfaces Platform,Desktop,3680153,227,6,3,International,Vue,4.0,No,3,3,Medium
53,Expedite Wireless Deliverables Platform,Web,4445219,69,11,0,International,Angular,3.6,Yes,1,1,Low
54,Transform Visionary Communities Platform,Web,1778275,182,5,3,Local,Django,4.8,No,3,2,Low
55,Reinvent Cross-Platform Infrastructures Platform,ML,1460771,143,7,0,Local,Vue,3.3,No,4,1,Low
56,Implement 24/7 E-Services Platform,ML,2537168,112,7,5,Local,Flutter,4.9,Yes,3,3,High
57,Integrate One-To-One Architectures Platform,Desktop,1078451,319,8,0,International,Flutter,3.0,No,3,3,High
58,Seize Cutting-Edge Schemas Platform,Mobile,4153130,150,11,5,International,Django,4.2,No,4,3,High
59,Enhance Innovative Partnerships Platform,ML,2751464,225,6,0,International,Laravel,2.0,No,5,3,Medium
60,Envisioneer Dot-Com Mindshare Platform,Web,4646543,226,5,3,Local,Vue,4.2,No,3,2,High
61,Syndicate Viral Systems Platform,Web,4833783,157,4,1,International,Laravel,3.2,Yes,4,3,Medium
62,Redefine Virtual Action-Items Platform,Web,1280588,210,6,3,Local,Vue,3.7,No,4,2,Medium
63,Implement Value-Added Web Services Platform,ERP,3274878,240,10,2,International,Vue,1.9,Yes,3,0,High
64,Expedite Bleeding-Edge Architectures Platform,ML,2053149,158,6,5,International,Vue,3.9,No,1,1,Medium
65,Reinvent Cutting-Edge Action-Items Platform,Mobile,3527289,151,7,0,Local,Vue,1.2,Yes,5,2,High
66,Extend Impactful Users Platform,Mobile,4617788,112,3,4,International,Laravel,2.9,No,2,0,Medium
67,Mesh Killer Synergies Platform,API,1457032,93,9,3,Local,Django,3.5,Yes,2,1,High
68,Mesh Next-Generation Systems Platform,Desktop,1214549,187,4,4,International,Django,3.4,Yes,5,3,Medium
69,Mesh Scalable Models Platform,API,2994378,279,7,4,Local,Django,4.8,Yes,2,1,Medium
70,Scale Out-Of-The-Box Deliverables Platform,ERP,1181049,140,6,1,Local,Angular,1.0,No,5,3,Medium
71,Maximize 24/7 Technologies Platform,Web,2441763,207,7,5,International,React,3.7,No,5,1,Medium
72,Brand Ubiquitous Systems Platform,Web,2385838,136,7,1,Local,React,1.7,No,5,2,Medium
73,Drive Compelling Metrics Platform,Web,4431723,215,9,2,International,Laravel,1.3,Yes,4,2,High
74,Seize B2B Action-Items Platform,Desktop,716970,106,6,5,Local,Flutter,3.7,No,5,0,Low
75,Expedite Turn-Key Supply-Chains Platform,API,4853384,286,7,1,International,Spring Boot,4.3,Yes,4,2,Medium
76,Innovate Bricks-And-Clicks Metrics Platform,Desktop,3193231,113,5,2,International,Spring Boot,3.0,No,5,0,Medium
77,Evolve Seamless Models Platform,Web,3138361,189,8,0,International,Flutter,3.1,Yes,5,3,Medium
78,Deliver Viral Initiatives Platform,Web,2073556,325,8,4,International,Spring Boot,2.8,Yes,2,2,High
79,Evolve Seamless Platforms Platform,Mobile,2916163,284,10,0,Local,Spring Boot,3.4,Yes,2,2,High
80,E-Enable Transparent Initiatives Platform,Web,3922473,107,6,0,International,React,3.6,Yes,4,2,High
81,Deliver Real-Time Users Platform,ERP,2793654,272,10,3,Local,Laravel,3.2,No,2,1,Low
82,Streamline Next-Generation Experiences Platform,Desktop,3980789,234,11,2,Local,Vue,3.9,No,2,3,High
83,Grow Back-End Schemas Platform,API,3395109,230,11,4,International,Laravel,4.7,Yes,2,3,Low
84,E-Enable Robust Metrics Platform,API,866140,222,10,5,International,Laravel,5.0,Yes,4,0,Low
85,Aggregate Killer E-Services Platform,ML,3284973,111,10,0,International,React,3.9,No,2,0,Medium
86,Benchmark Cross-Platform Models Platform,Desktop,3340057,263,4,2,International,Vue,3.5,No,5,0,High
87,Enable Rich Systems Platform,Web,2469395,207,6,5,Local,Laravel,4.9,Yes,4,1,High
88,Streamline Intuitive Convergence Platform,Desktop,742827,83,8,0,International,Vue,2.5,Yes,2,3,High
89,Synergize Plug-And-Play Partnerships Platform,ERP,2010426,147,5,0,International,Django,3.7,No,5,1,Low
90,Incentivize Rich Communities Platform,API,2630516,295,7,5,Local,Flutter,2.9,No,5,1,Low
91,Whiteboard Cross-Platform Portals Platform,API,3398814,360,7,5,International,Spring Boot,2.0,No,2,3,Medium
92,Evolve Plug-And-Play Bandwidth Platform,Web,2489825,255,12,2,International,Spring Boot,2.2,No,3,0,High
93,Integrate Dynamic Models Platform,ERP,911412,314,7,1,International,Angular,3.5,No,2,0,High
94,Empower Sticky E-Business Platform,ERP,830700,218,10,0,International,Spring Boot,1.5,No,3,3,Low
95,Innovate Ubiquitous Functionalities Platform,Mobile,1608636,336,8,4,International,Flutter,1.7,No,3,2,Low
96,Utilize Innovative Interfaces Platform,API,1131656,132,6,5,International,Flutter,4.2,No,1,3,Low
97,Iterate Back-End Action-Items Platform,Desktop,1536737,292,8,5,International,Django,2.5,No,1,1,Medium
98,Synergize Magnetic Web Services Platform,Web,3251516,173,4,5,International,Spring Boot,2.2,No,1,1,Low
99,Expedite Vertical Architectures Platform,Web,3053195,312,4,0,Local,Django,1.5,No,3,3,High
100,Scale Bricks-And-Clicks Web-Readiness Platform,ERP,1796232,272,4,3,International,Vue,1.1,No,2,3,Medium
101,Visualize Enterprise Convergence Platform,Mobile,3542431,110,8,4,International,React,2.6,Yes,1,3,Low
102,Incubate Holistic Info-Mediaries Platform,ERP,2279272,70,3,2,Local,Angular,4.1,Yes,1,1,High
103,Scale Impactful E-Tailers Platform,Mobile,2454534,228,5,4,Local,Vue,4.4,Yes,2,2,Low
104,Engage Seamless Models Platform,Web,716259,127,3,2,Local,Django,2.3,Yes,3,0,Low
105,Orchestrate Transparent Synergies Platform,ERP,4031273,329,4,5,Local,Laravel,2.8,No,5,0,Medium
106,Leverage Cutting-Edge Eyeballs Platform,ML,2358494,82,11,2,International,Spring Boot,4.9,Yes,4,3,Medium
107,Brand Web-Enabled Experiences Platform,ERP,1405649,311,10,0,Local,Vue,3.4,Yes,2,2,High
108,Syndicate Interactive Mindshare Platform,ERP,3227853,255,12,4,International,Laravel,3.0,No,1,0,High
109,Benchmark Cross-Platform E-Markets Platform,ERP,2303744,280,10,1,International,Vue,4.3,No,4,0,Medium
110,Repurpose Intuitive Niches Platform,API,3121637,190,8,1,International,React,1.4,Yes,1,3,Low
111,Syndicate Bleeding-Edge Content Platform,ERP,3625988,126,11,0,International,Spring Boot,1.5,No,4,0,Medium
112,Engage B2B Deliverables Platform,ML,3121011,240,4,4,Local,Angular,3.6,Yes,1,2,High
113,Enable Strategic Paradigms Platform,Desktop,1463727,202,12,1,International,Flutter,3.2,Yes,5,2,Low
114,Whiteboard 24/7 Paradigms Platform,Mobile,2792358,218,8,2,Local,Angular,4.5,No,1,1,High
115,Monetize Out-Of-The-Box Action-Items Platform,ERP,757170,106,11,1,International,Laravel,2.8,Yes,3,2,High
116,Empower Cross-Platform Eyeballs Platform,Desktop,1212671,86,5,1,Local,Spring Boot,1.3,No,4,3,High
117,Repurpose Back-End Deliverables Platform,API,3974425,199,6,4,Local,Vue,2.7,No,5,3,High
118,Transform End-To-End Web-Readiness Platform,ERP,3087209,83,6,3,Local,React,1.8,Yes,2,2,Medium
119,Iterate Intuitive Relationships Platform,Desktop,1506501,63,10,5,International,Angular,1.5,Yes,5,2,Low
120,Extend Cross-Media Models Platform,API,854857,283,3,3,Local,Flutter,2.3,No,5,3,High
121,Expedite User-Centric Supply-Chains Platform,ERP,4003870,208,4,3,Local,Vue,1.7,No,3,0,Medium
122,Seize Best-Of-Breed Niches Platform,Web,2541086,283,12,3,Local,Laravel,4.5,No,2,2,Low
123,Envisioneer World-Class Partnerships Platform,Web,4782244,118,11,4,Local,Flutter,2.4,Yes,2,0,Low
124,Implement Frictionless Relationships Platform,Desktop,2154835,148,12,1,Local,Angular,4.8,No,4,3,High
125,Incentivize B2C Bandwidth Platform,ML,3211267,221,5,3,Local,Laravel,2.8,No,3,0,Medium
126,Transform Vertical Metrics Platform,ML,1122356,218,10,3,Local,React,2.5,No,1,0,High
127,Productize B2B Paradigms Platform,ML,4753593,256,10,4,Local,Laravel,4.6,Yes,3,3,High
128,Seize Next-Generation Schemas Platform,Mobile,1019034,290,4,2,Local,Django,3.6,Yes,2,3,Medium
129,Unleash Seamless E-Tailers Platform,ML,4885128,141,8,2,International,Laravel,2.6,No,5,0,High
130,Embrace Cross-Platform Mindshare Platform,ERP,3307242,93,8,0,International,Vue,2.0,Yes,3,0,High
131,Enhance Bleeding-Edge Models Platform,ERP,1686387,239,7,5,International,Angular,3.4,Yes,3,3,High
132,Orchestrate Visionary Solutions Platform,Desktop,1572011,329,4,5,International,Django,2.4,No,3,1,Low
133,Implement Enterprise Infrastructures Platform,Desktop,4579136,158,6,1,Local,React,2.2,Yes,5,0,High
134,Re-Intermediate Web-Enabled Users Platform,Desktop,1599319,252,5,1,Local,Flutter,3.8,Yes,4,0,Medium
135,Streamline Proactive Partnerships Platform,Desktop,2492547,287,12,2,International,Angular,3.1,No,4,1,Medium
136,Re-Intermediate Cross-Media Applications Platform,ERP,4195998,296,7,3,International,Angular,4.3,Yes,3,0,High
137,Seize Viral Technologies Platform,API,3613952,343,4,5,Local,Vue,1.3,Yes,3,3,High
138,Mesh Scalable Channels Platform,Mobile,4169785,106,6,3,International,React,2.7,No,5,2,Low
139,Enable Sticky Schemas Platform,API,1184556,251,6,0,International,React,4.4,No,2,1,Low
140,Envisioneer Revolutionary Models Platform,Desktop,4463239,131,10,3,Local,React,1.1,Yes,2,3,Low
141,Leverage Efficient Portals Platform,Desktop,2493470,214,4,0,Local,Laravel,3.6,No,1,0,Medium
142,Maximize Revolutionary Solutions Platform,ML,4996745,68,11,4,Local,Spring Boot,1.6,No,1,2,Low
143,Optimize Web-Enabled Web Services Platform,ML,3994422,155,4,4,International,React,4.8,Yes,4,3,Low
144,Orchestrate Wireless E-Markets Platform,ERP,3745395,251,7,5,Local,Vue,4.2,No,2,0,High
145,Re-Intermediate Interactive Technologies Platform,ERP,3289368,128,3,2,International,Flutter,3.6,No,4,1,Low
146,Streamline 24/7 Platforms Platform,Web,4339294,78,7,1,Local,Flutter,1.8,Yes,3,2,High
147,Enhance Sticky Architectures Platform,API,4471165,189,3,5,Local,Vue,2.4,Yes,3,2,Low
148,Iterate 24/7 E-Commerce Platform,Desktop,4165413,264,10,3,International,Angular,3.0,No,3,2,Low
149,Scale Next-Generation Technologies Platform,ERP,4060961,100,9,4,Local,Django,2.2,Yes,1,2,High
150,Generate Open-Source Architectures Platform,Desktop,3071073,288,12,5,International,Angular,3.8,No,4,0,High
151,Architect Dynamic Networks Platform,Desktop,4148545,200,3,0,International,Vue,3.1,Yes,1,1,High
152,Incentivize Dynamic Interfaces Platform,ERP,4175660,77,5,0,Local,Flutter,3.6,No,4,0,High
153,Transform Seamless Deliverables Platform,Mobile,4274224,249,8,3,Local,Django,1.6,No,4,2,High
154,Repurpose Strategic Infrastructures Platform,Desktop,2593894,118,3,5,Local,Laravel,3.1,Yes,3,2,High
155,Incubate Vertical E-Business Platform,API,2299947,206,10,1,Local,Angular,4.4,No,2,3,Low
156,Visualize Cutting-Edge E-Business Platform,ERP,3180896,237,4,4,International,Vue,4.4,Yes,3,1,Low
157,Empower Virtual Relationships Platform,Mobile,1664983,181,10,0,International,Django,3.3,No,5,1,High
158,Implement 24/7 Experiences Platform,Web,1051535,218,9,5,International,Django,2.6,No,5,0,Low
159,Disintermediate Efficient Synergies Platform,Desktop,1122141,290,10,5,International,Angular,4.5,Yes,2,3,High
160,Transition Vertical Relationships Platform,Web,1541538,325,5,2,Local,Angular,2.3,Yes,3,2,Low
161,Benchmark Customized Communities Platform,Desktop,2146699,342,7,1,International,Django,3.1,Yes,5,1,Low
162,Matrix Holistic Convergence Platform,ERP,3332158,348,3,0,Local,React,4.8,No,2,3,High
163,Repurpose Intuitive Info-Mediaries Platform,ERP,754056,314,11,2,International,Laravel,2.0,No,3,3,Low
164,Deploy Next-Generation Metrics Platform,ERP,1002586,140,10,3,International,Laravel,1.8,Yes,3,2,High
165,Productize Bricks-And-Clicks Interfaces Platform,Desktop,3844677,126,8,4,Local,Vue,2.0,Yes,3,3,Low
166,Transition Mission-Critical Relationships Platform,Mobile,1312115,85,7,3,International,Angular,4.9,Yes,3,2,Low
167,Leverage Best-Of-Breed Systems Platform,Mobile,4679754,323,10,3,International,Laravel,1.1,No,5,3,Low
168,Monetize Dynamic Content Platform,Mobile,3460298,84,3,2,International,Django,4.5,No,3,0,Low
169,Engage E-Business Supply-Chains Platform,API,1623527,195,8,3,International,React,2.6,Yes,3,2,Low
170,Aggregate Plug-And-Play Solutions Platform,API,4730001,290,11,2,Local,Angular,4.9,No,3,2,High
171,Productize Cutting-Edge Platforms Platform,Desktop,1710202,161,12,4,International,Django,1.2,Yes,2,2,Medium
172,Utilize Compelling Platforms Platform,ML,4333497,136,12,4,Local,Vue,4.7,No,2,3,High
173,Productize Magnetic Communities Platform,ERP,3010159,232,11,4,International,Spring Boot,3.3,No,1,2,Medium
174,Brand Holistic Initiatives Platform,ERP,1419429,273,12,2,Local,Django,2.9,Yes,1,3,Low
175,Matrix Value-Added Users Platform,ML,3689267,135,6,0,Local,Angular,1.1,No,4,1,Medium
176,Orchestrate Enterprise Interfaces Platform,ERP,2210367,270,11,4,International,Flutter,4.4,Yes,2,1,High
177,Deploy B2C Bandwidth Platform,Desktop,4512866,329,9,2,Local,Laravel,4.6,No,5,2,High
178,E-Enable Interactive Eyeballs Platform,ERP,2717630,307,6,1,International,Django,2.2,No,3,1,High
179,Transform Virtual Networks Platform,ERP,4602055,222,10,2,International,Vue,1.5,No,4,2,Low
180,Disintermediate Revolutionary E-Business Platform,Desktop,852879,207,4,2,International,Spring Boot,2.0,No,2,1,High
181,Seize Mission-Critical Schemas Platform,Desktop,2778526,130,4,4,Local,Angular,1.2,Yes,2,0,Low
182,Re-Intermediate Viral Paradigms Platform,API,3270703,301,4,5,Local,React,4.9,Yes,4,3,Medium
183,Grow Innovative Interfaces Platform,ERP,2173157,207,8,2,Local,Flutter,1.4,Yes,5,0,Low
184,Reinvent Out-Of-The-Box Interfaces Platform,API,1974622,78,9,3,Local,Spring Boot,4.8,No,1,0,Medium
185,Enable Turn-Key Schemas Platform,ML,1400103,231,7,3,International,Angular,4.4,No,3,1,Low
186,Iterate Distributed Communities Platform,Desktop,1863100,294,7,5,Local,React,3.9,No,5,1,Low
187,Target Cross-Platform Web-Readiness Platform,ML,3901499,278,11,2,Local,Laravel,3.7,Yes,2,3,Medium
188,Integrate Leading-Edge Metrics Platform,Mobile,557295,193,9,1,International,Flutter,2.1,No,3,0,Medium
189,Deliver Turn-Key Niches Platform,ERP,3516141,180,3,5,Local,Laravel,2.2,No,5,2,High
190,Aggregate Value-Added Experiences Platform,Web,2974954,248,12,1,Local,Angular,2.9,No,5,2,Medium
191,Evolve Killer Networks Platform,ERP,4449592,335,6,1,Local,Django,2.8,No,1,0,Low
192,Matrix Value-Added Markets Platform,ML,4740332,163,12,4,Local,Angular,2.3,No,1,1,High
193,Revolutionize Bricks-And-Clicks Deliverables Platform,ML,4600586,106,11,3,Local,Laravel,1.5,No,4,0,High
194,Productize 24/7 Markets Platform,API,3085113,71,9,2,Local,Spring Boot,1.9,Yes,1,3,Medium
195,Matrix Innovative E-Business Platform,ERP,1034856,337,3,0,International,React,2.1,Yes,2,3,Medium
196,Scale Sticky Mindshare Platform,API,4262602,253,9,0,Local,Spring Boot,4.4,Yes,2,3,High
197,Envisioneer Next-Generation Experiences Platform,Mobile,2368060,61,3,2,International,Spring Boot,3.9,No,5,3,Low
198,Incentivize Bleeding-Edge E-Services Platform,Mobile,4364004,237,5,2,Local,Spring Boot,4.1,Yes,4,0,Low
199,Disintermediate B2B Schemas Platform,Mobile,1064477,111,12,0,International,Django,3.7,Yes,2,0,Medium
